W(u),W(v),d4,d3,var4,var3,w_centrality,uw_centrality,sign,score
-337.0,92.0,-0.06373721992603872,0.6696428571428571,101.07287708366098,85.44843951093951,0.0,0.0009085014313798217,1.0,0.06060606060606061
-337.0,77.0,0.48682220782026353,1.015625,118.85264041367118,103.47594246031746,0.006549917264202979,0.0010082192619039836,-1.0,-0.18518518518518517
-337.0,-71.0,-0.6630928449110267,-0.3557692307692308,102.79601601811038,79.53239357729649,0.024487497701783417,0.0008933254512712359,-1.0,-0.1504424778761062
-337.0,-9.0,-0.6950400693090751,-0.13333333333333333,111.97327045441664,63.70574712643678,0.0,0.0014478173916949435,0.0,0.0
-337.0,-123.0,-0.9171961467513835,-2.3835616438356166,106.65999191923085,180.94152102031177,0.0,0.0009162449665192637,0.0,0.0
-337.0,163.0,0.2934011717545483,-0.634453781512605,117.64629555997601,165.00083324469028,0.0,0.0005670268806072761,-1.0,-0.018867924528301886
-337.0,-18.0,-0.4907607391408687,-0.9846938775510204,102.97339516132644,131.79976452119308,0.0,0.0007960772170873125,1.0,0.3142857142857143
-337.0,64.0,-0.14116470497730596,0.46938775510204084,113.3675921500513,91.61245529139491,0.0,0.0009002821623323594,1.0,0.08270676691729323
-337.0,93.0,0.06513755944855819,-0.8928571428571429,113.99659970865001,160.0551282051282,0.0,0.0008306218390881622,-1.0,-0.10638297872340426
-337.0,-14.0,-0.523738297047255,-1.3666666666666667,118.58551679444406,161.88715083798883,0.0,0.0007710396687250668,-1.0,-0.020833333333333332
-337.0,43.0,-0.08802588996763754,0.5,110.08261812465328,101.5204081632653,0.0,0.0011175537292769076,1.0,0.125
-337.0,-330.0,-1.2936457673633102,-2.644628099173554,119.115540980123,159.95617434244366,0.0,0.0005894773202874227,-1.0,-0.22448979591836735
-337.0,13.0,-0.08191504081915041,0.28,114.34922589203363,89.83836734693878,0.006549917264202979,0.00112309256165998,-1.0,-0.21518987341772153
-337.0,-27.0,-0.9872292272874232,-2.0,111.87291691333155,71.65853658536585,0.0,0.0012172154042059907,-1.0,-0.09090909090909091
-337.0,0.0,-1.8319209039548023,-5.25,111.1640715524337,32.25,0.0010112152969295827,0.005025433596862175,1.0,0.1794871794871795
-337.0,-19.0,-1.526431718061674,-3.25,129.07240885977205,73.92857142857143,0.0,0.003430471287614143,-1.0,-0.05
-337.0,39.0,-0.02535328345802161,0.75,116.37178529257045,96.18913043478261,0.04247027639884783,0.0008648820997411646,-1.0,-0.1347517730496454
-337.0,-23.0,-0.636144578313253,-0.42045454545454547,106.03691194624984,94.33842737722048,0.0,0.0009699629849792973,-1.0,-0.125
-337.0,54.0,0.40617577197149646,-0.3125,115.17175357670055,81.96370967741936,0.0,0.0013817195990065126,-1.0,-0.02040816326530612
-337.0,104.0,0.12563996125639962,1.0083333333333333,121.7096684308004,98.378081232493,0.0,0.0008624647908886843,1.0,0.03225806451612903
-337.0,-109.0,-1.359033726942965,-1.2040816326530612,105.26318115948297,80.597096570587,0.0,0.0008909782171024155,1.0,0.061946902654867256
-337.0,-29.0,-1.5420264824409902,-2.5454545454545454,123.79048780119885,78.16450216450217,0.0,0.0017737323859772845,-1.0,-0.018867924528301886
-337.0,-117.0,-1.1391996557659207,-0.5714285714285714,122.13632743800892,101.86872586872587,0.0,0.0008740807424226706,-1.0,-0.0782608695652174
-337.0,583.0,1.3367103075644222,0.9957983193277311,125.70617657279965,178.83120590008156,0.0,0.0005901100128617578,1.0,0.2
-337.0,-144.0,-1.1929786463988419,-0.8888888888888888,105.0224061769727,82.90342679127725,0.00652693509836367,0.0008800164305593794,-1.0,-0.15789473684210525
-337.0,-5.0,0.0,0.0,0.0,0.0,0.013260709689281119,0.013421584850156274,-1.0,-0.1724137931034483
-337.0,-165.0,0.28733817492895486,-3.7916666666666665,146.11027018762567,436.53345070422534,0.8600608261322548,0.0009791199663947644,-1.0,-0.4716981132075472
-337.0,4.0,-2.2288135593220337,-8.5,106.47724108128871,40.5,0.0013329656186799044,0.007354293068578783,1.0,0.21052631578947367
-337.0,2.0,-0.2838291046952464,-0.6851851851851852,107.6129823766257,77.80650744202146,0.0,0.0008692879485641326,-1.0,-0.06796116504854369
-337.0,-9.0,-0.9078135709389993,-1.09375,113.46539535607766,88.87996031746032,0.0,0.001079811867562554,1.0,0.0136986301369863
-337.0,-90.0,-2.0279312461632903,-3.4761904761904763,109.94918135275492,101.42624854819977,0.0,0.0012311145335579376,-1.0,-0.1111111111111111
-337.0,27.0,-0.3193234238851871,-0.2894736842105263,115.92928648680086,113.02204836415362,0.0,0.0012652511831130675,1.0,0.05714285714285714
-337.0,-81.0,-0.9371308016877637,-0.7441860465116279,108.26096400095008,91.88673050615596,0.005929398786541644,0.0009158959057096686,-1.0,-0.1650485436893204
